Date,Open,High,Low,Close,Adj Close,Volume
2018-06-25,22800.000000,23100.000000,21800.000000,22900.000000,22830.990234,8541415
2018-07-02,23100.000000,23700.000000,22300.000000,22900.000000,22830.990234,11540800
2018-07-09,22900.000000,23800.000000,22900.000000,23600.000000,23528.880859,8065795
2018-07-16,23600.000000,23700.000000,22400.000000,23000.000000,22930.689453,7065350
2018-07-23,23000.000000,24000.000000,22700.000000,23900.000000,23827.978516,9954335
2018-07-30,23700.000000,23800.000000,22200.000000,22600.000000,22531.896484,8604590
2018-08-06,22700.000000,25900.000000,22500.000000,25600.000000,25522.857422,25205490
2018-08-13,25300.000000,25800.000000,24500.000000,25400.000000,25323.458984,9803490
2018-08-20,25400.000000,25600.000000,24500.000000,24800.000000,24725.265625,7957200
2018-08-27,24800.000000,25600.000000,24600.000000,25000.000000,24924.664063,12826380
2018-09-03,25000.000000,25100.000000,23700.000000,24000.000000,23927.677734,7246715
2018-09-10,23800.000000,24400.000000,23200.000000,24000.000000,23927.677734,8404655
2018-09-17,24100.000000,24700.000000,23300.000000,23700.000000,23628.582031,11920920
2018-09-24,23700.000000,24200.000000,23700.000000,23800.000000,23728.281250,2527315
2018-10-01,24000.000000,24700.000000,21700.000000,21800.000000,21734.308594,10336820
2018-10-08,21500.000000,22100.000000,19520.000000,20200.000000,20139.128906,10994395
2018-10-15,20200.000000,20600.000000,19820.000000,20200.000000,20139.128906,5740465
2018-10-22,20300.000000,20800.000000,17980.000000,18180.000000,18125.216797,11965220
2018-10-29,17980.000000,19700.000000,17200.000000,19640.000000,19580.818359,11198605
2018-11-05,19400.000000,20400.000000,18940.000000,20100.000000,20039.431641,8711300
2018-11-12,20200.000000,21200.000000,19740.000000,20500.000000,20438.224609,5690230
2018-11-19,20500.000000,21900.000000,20500.000000,21600.000000,21534.910156,5866390
2018-11-26,21500.000000,22800.000000,21500.000000,22500.000000,22432.197266,7633405
2018-12-03,22900.000000,23500.000000,22300.000000,22900.000000,22830.990234,7503645
2018-12-10,22600.000000,22900.000000,21100.000000,22000.000000,21933.705078,9390065
2018-12-17,22000.000000,22400.000000,20200.000000,20900.000000,20837.019531,7948555
2018-12-24,20900.000000,20900.000000,19600.000000,20600.000000,20537.923828,6104460
2018-12-31,20600.000000,21100.000000,20100.000000,20700.000000,20664.265625,3595895
2019-01-07,21000.000000,21400.000000,19900.000000,20400.000000,20364.785156,8289225
2019-01-14,20400.000000,20500.000000,19700.000000,19920.000000,19885.613281,7842430
2019-01-21,19980.000000,20700.000000,19740.000000,20500.000000,20464.611328,8494985
2019-01-28,20600.000000,20800.000000,19760.000000,19920.000000,19885.613281,10000270
2019-02-04,19920.000000,20000.000000,19620.000000,19640.000000,19606.093750,3110905
2019-02-11,19700.000000,20700.000000,18660.000000,20300.000000,20264.957031,17642350
2019-02-18,20500.000000,20600.000000,19700.000000,19860.000000,19825.716797,7983380
2019-02-25,19880.000000,21300.000000,19620.000000,20700.000000,20664.265625,14473125
2019-03-04,21100.000000,21900.000000,20700.000000,21500.000000,21462.884766,13734515
2019-03-11,21600.000000,21700.000000,20700.000000,21500.000000,21462.884766,9025440
2019-03-18,21600.000000,21700.000000,20000.000000,20800.000000,20764.091797,8820665
2019-03-25,20400.000000,21100.000000,20300.000000,20700.000000,20664.265625,4773475
2019-04-01,20700.000000,20800.000000,20300.000000,20500.000000,20464.611328,5653695
2019-04-08,20600.000000,20700.000000,20000.000000,20500.000000,20464.611328,6329980
2019-04-15,20800.000000,23900.000000,20600.000000,23400.000000,23359.605469,21999445
2019-04-22,23600.000000,24100.000000,22600.000000,23000.000000,22960.292969,9095350
2019-04-29,23100.000000,25800.000000,22800.000000,25600.000000,25555.806641,14245635
2019-05-06,25600.000000,26700.000000,25100.000000,26000.000000,25955.119141,18622835
2019-05-13,26100.000000,27200.000000,24800.000000,24900.000000,24857.013672,44837200
2019-05-20,25300.000000,25700.000000,24100.000000,24800.000000,24757.187500,18131820
2019-05-27,25000.000000,25300.000000,24100.000000,24900.000000,24857.013672,11124385
2019-06-03,24700.000000,25100.000000,23300.000000,24000.000000,23958.568359,10042735
2019-06-10,24000.000000,25600.000000,23800.000000,25000.000000,24956.843750,10342810
2019-06-17,25000.000000,25600.000000,24000.000000,25300.000000,25256.326172,9845325
2019-06-24,25400.000000,26700.000000,25100.000000,26300.000000,26254.599609,14229210
2019-07-01,26500.000000,26800.000000,25600.000000,26700.000000,26653.906250,9099705
2019-07-08,26700.000000,26700.000000,25600.000000,26300.000000,26254.599609,10920335
2019-07-15,26500.000000,27200.000000,25900.000000,27000.000000,26953.392578,11314240
2019-07-22,26900.000000,27600.000000,25400.000000,26200.000000,26154.771484,17837605
2019-07-29,26000.000000,26400.000000,24700.000000,25700.000000,25655.632813,9121635
2019-08-05,25600.000000,26600.000000,23500.000000,26400.000000,26354.425781,17363555
2019-08-12,26600.000000,26700.000000,25600.000000,25900.000000,25855.287109,6327880
2019-08-19,26100.000000,27000.000000,25900.000000,26600.000000,26554.080078,9438370
2019-08-26,26000.000000,27100.000000,25900.000000,26900.000000,26853.560547,9423025
2019-09-02,26800.000000,27800.000000,26700.000000,27200.000000,27153.044922,10442305
2019-09-09,27000.000000,27200.000000,26400.000000,26600.000000,26554.080078,8591170
2019-09-16,26900.000000,27500.000000,26200.000000,27100.000000,27053.218750,10126260
2019-09-23,27000.000000,27700.000000,26900.000000,27100.000000,27053.218750,6777125
2019-09-30,26900.000000,27600.000000,26700.000000,26700.000000,26653.906250,4225255
2019-10-07,26800.000000,27500.000000,26500.000000,27000.000000,26953.392578,7509280
2019-10-14,27200.000000,27300.000000,25700.000000,26500.000000,26454.253906,11062325
2019-10-21,26500.000000,28400.000000,26200.000000,28000.000000,27951.666016,11420435
2019-10-28,28400.000000,29200.000000,27500.000000,29100.000000,29049.765625,13638800
2019-11-04,29300.000000,31000.000000,29100.000000,30400.000000,30347.521484,17895085
2019-11-11,30600.000000,31100.000000,30200.000000,31100.000000,31046.312500,11077790
2019-11-18,31100.000000,31800.000000,30200.000000,30600.000000,30547.173828,10150815
2019-11-25,30700.000000,31800.000000,30700.000000,31100.000000,31046.312500,8228820
2019-12-02,31200.000000,31400.000000,29700.000000,30700.000000,30647.001953,9878180
2019-12-09,30800.000000,30900.000000,29400.000000,30200.000000,30147.867188,12153375
2019-12-16,30200.000000,30600.000000,29800.000000,30000.000000,29948.212891,7734865
2019-12-23,30200.000000,30800.000000,28900.000000,30700.000000,30647.001953,8313445
