Date,Open,High,Low,Close,Adj Close,Volume
2015-10-01,103600.000000,123400.000000,102600.000000,120000.000000,118529.671875,12567510
2015-11-01,120000.000000,129400.000000,117800.000000,126200.000000,124653.710938,8238980
2015-12-01,127000.000000,133600.000000,120800.000000,131600.000000,129987.546875,6769970
2016-01-01,131600.000000,137400.000000,121000.000000,125600.000000,124274.320313,11291840
2016-02-01,124400.000000,125800.000000,108800.000000,114400.000000,113192.531250,10137665
2016-03-01,114400.000000,130800.000000,114400.000000,127400.000000,126055.320313,8556360
2016-04-01,129000.000000,138200.000000,124800.000000,135400.000000,133970.875000,9726085
2016-05-01,135800.000000,144000.000000,133400.000000,144000.000000,142480.125000,8677180
2016-06-01,140000.000000,152000.000000,133200.000000,142000.000000,140501.203125,14379535
2016-07-01,142600.000000,154000.000000,138200.000000,142000.000000,140501.203125,12413600
2016-08-01,142200.000000,170000.000000,135600.000000,169000.000000,167216.250000,10216945
2016-09-01,169000.000000,180600.000000,163800.000000,176600.000000,174736.015625,8330125
2016-10-01,176600.000000,178800.000000,164600.000000,171400.000000,169590.906250,8507670
2016-11-01,172000.000000,172000.000000,147800.000000,159600.000000,157915.453125,12804280
2016-12-01,158000.000000,162800.000000,148800.000000,155000.000000,153364.000000,7246475
2017-01-01,155600.000000,163000.000000,147200.000000,151600.000000,150219.968750,8201525
2017-02-01,152200.000000,163000.000000,152000.000000,155200.000000,153787.203125,9462965
2017-03-01,155200.000000,178400.000000,155200.000000,171000.000000,169443.375000,8005330
2017-04-01,171000.000000,175600.000000,151400.000000,160000.000000,158543.500000,10872770
2017-05-01,160000.000000,175600.000000,158000.000000,169000.000000,167461.578125,8281360
2017-06-01,170000.000000,195000.000000,166400.000000,167600.000000,166074.328125,13077485
2017-07-01,168800.000000,170000.000000,157200.000000,160600.000000,159138.046875,8285615
2017-08-01,158800.000000,163200.000000,150200.000000,151000.000000,149625.437500,10847555
2017-09-01,151400.000000,157400.000000,143400.000000,149000.000000,147643.640625,9529980
2017-10-01,149000.000000,179800.000000,148800.000000,178800.000000,177172.359375,10504105
2017-11-01,174000.000000,175800.000000,157600.000000,160000.000000,158543.500000,11726765
2017-12-01,161800.000000,176200.000000,160200.000000,174000.000000,172416.078125,8336550
2018-01-01,174000.000000,195000.000000,172800.000000,182000.000000,180642.109375,11801735
2018-02-01,182000.000000,186400.000000,159600.000000,160600.000000,159401.765625,11342810
2018-03-01,160600.000000,165200.000000,154400.000000,158400.000000,157218.187500,9186105
2018-04-01,156600.000000,159800.000000,142400.000000,143200.000000,142131.578125,10620485
2018-05-01,143200.000000,149000.000000,129600.000000,133800.000000,132801.718750,9596750
2018-06-01,134800.000000,152800.000000,132800.000000,152600.000000,151461.453125,12058320
2018-07-01,153000.000000,156400.000000,142400.000000,143200.000000,142131.578125,10079725
2018-08-01,143600.000000,156400.000000,143000.000000,150400.000000,149277.859375,7598280
2018-09-01,150600.000000,151400.000000,142400.000000,143200.000000,142131.578125,5797530
2018-10-01,143600.000000,144400.000000,104000.000000,114500.000000,113645.718750,18415572
2018-11-01,113500.000000,134000.000000,104500.000000,126500.000000,125556.187500,13151670
2018-12-01,130500.000000,130500.000000,117500.000000,122000.000000,121089.757813,8068362
2019-01-01,122000.000000,143500.000000,117000.000000,136000.000000,135342.421875,9422160
2019-02-01,138000.000000,140000.000000,121500.000000,133000.000000,132356.937500,8896771
2019-03-01,133000.000000,140000.000000,120500.000000,124000.000000,123400.445313,7973932
2019-04-01,124000.000000,125500.000000,117000.000000,119500.000000,118922.210938,13118460
2019-05-01,119500.000000,125500.000000,108500.000000,111500.000000,110960.882813,11584207
2019-06-01,113000.000000,116500.000000,106500.000000,114000.000000,113448.789063,8389144
2019-07-01,114500.000000,142000.000000,112000.000000,138000.000000,137332.750000,10514757
2019-08-01,139500.000000,150500.000000,132000.000000,146500.000000,145791.656250,9862835
2019-09-01,156000.000000,159500.000000,145000.000000,157000.000000,156240.890625,6833096
2019-10-01,157500.000000,167000.000000,148500.000000,164000.000000,163207.046875,7253683
2019-11-01,166000.000000,181500.000000,156000.000000,172000.000000,171168.343750,12493696
2019-12-01,172500.000000,190000.000000,168500.000000,186500.000000,185598.250000,6038326
2020-01-01,186500.000000,194500.000000,175000.000000,179500.000000,179004.984375,8845190
2020-02-01,178000.000000,191500.000000,172000.000000,174000.000000,173520.156250,10704873
2020-03-01,175000.000000,181000.000000,135000.000000,170000.000000,169531.171875,16165273
2020-04-01,166500.000000,200000.000000,162500.000000,197500.000000,196955.343750,14952320
2020-05-01,197500.000000,246000.000000,193500.000000,226000.000000,225376.750000,21720941
2020-06-01,233500.000000,289000.000000,225000.000000,267000.000000,266263.687500,26395703
2020-07-01,270000.000000,308500.000000,260500.000000,301000.000000,300169.906250,28482049
2020-08-01,301500.000000,347000.000000,299000.000000,322500.000000,321610.656250,21055145
2020-09-01,322500.000000,339500.000000,282000.000000,296500.000000,295682.312500,17195161
2020-10-01,296500.000000,307500.000000,280500.000000,290000.000000,289200.250000,13770718
2020-11-01,292000.000000,307000.000000,273500.000000,277500.000000,276734.718750,18816447
2020-12-01,282000.000000,300500.000000,280000.000000,292500.000000,291693.375000,13469782
2021-01-01,292500.000000,366000.000000,285500.000000,343000.000000,342544.156250,32215031
2021-02-01,346500.000000,405500.000000,341500.000000,375000.000000,374501.625000,20088953
2021-03-01,375000.000000,410000.000000,350000.000000,377000.000000,376498.968750,22731223
2021-04-01,375500.000000,398500.000000,353500.000000,359500.000000,359022.218750,13192146
2021-05-01,366000.000000,370500.000000,334500.000000,362500.000000,362018.250000,12720079
2021-06-01,362500.000000,436000.000000,355000.000000,417500.000000,416945.125000,19333094
2021-07-01,418000.000000,465000.000000,407000.000000,433500.000000,432923.875000,18165474
2021-08-01,429000.000000,453500.000000,416500.000000,439000.000000,438416.562500,12186872
2021-09-01,442000.000000,454500.000000,380000.000000,388000.000000,387484.343750,16318854
2021-10-01,388500.000000,419500.000000,370000.000000,407000.000000,406459.093750,10871541
2021-11-01,407000.000000,419000.000000,381000.000000,381000.000000,380493.656250,10862102
2021-12-01,385000.000000,402000.000000,370000.000000,378500.000000,377996.968750,9659960
2022-01-01,379000.000000,381000.000000,297000.000000,310000.000000,310000.000000,14371665
2022-02-01,325500.000000,337500.000000,300000.000000,314500.000000,314500.000000,6842627
2022-03-01,319000.000000,347500.000000,301500.000000,340500.000000,340500.000000,7079080
2022-04-01,340000.000000,343000.000000,277000.000000,280500.000000,280500.000000,10762245
2022-04-28,286000.000000,286000.000000,278500.000000,280500.000000,280500.000000,539572
